corredores.id-corredor,corredores.ageGroup,corredores.fullname,corredores.uri,corredores.nationality,corredores.sex,corredores.Club,corredores.Team,corredores.Sponsor(s),corredores.Description,corredores.Geral,corredores.20K,corredores.50K,corredores.100K,corredores.100m
3337375,45-49,Maria LUCIANA SIQUEIRA PAULO,3337375.maria.lucianasiqueirapaulo,BR,F,,,,,533,,534,,
3902583,55-59,Jos� Donizete SILVA,3902583.josedonizete.silva,BR,H,,,,,460,387,459,,
3902585,45-49,Glauber CANDIDO,3902585.glauber.candido,BR,H,,,,,423,385,422,,
4046445,55-59,Viviane CRISTINE CAMPOS BALTAR DUARTE SOMOGYI,4046445.viviane.cristinecamposbaltarduartesomogyi,BR,F,,,,,359,,342,,353
4087052,35-39,Alan CONTES,4087052.alan.contes,BR,H,,,,,529,473,531,,
4395386,45-49,Luiz CARLOS ALVES DA SILVA,4395386.luiz.carlosalvesdasilva,BR,H,,,,,454,,453,,
4395442,60-64,Mauricio FRANCISCO DA LUZ,4395442.mauricio.franciscodaluz,BR,H,,,,,418,,419,,
4744590,55-59,Andreia BERTHOLINI ROSADAS,4744590.andreia.bertholinirosadas,BR,F,,,,,343,,338,339,331
4772370,45-49,Vitor HUGO RODRIGUES DE DEUS,4772370.vitor.hugorodriguesdedeus,BR,H,,,,,467,466,392,,
4915497,45-49,Sueli YAMAGISHI,4915497.sueli.yamagishi,BR,F,,,,,341,,342,,
4939900,50-54,Claudio VIEIRA DO NASCIMENTO,4939900.claudio.vieiradonascimento,BR,H,,,,,409,,409,,293
4986566,35-39,Denis DUARTE PEREIRA,4986566.denis.duartepereira,BR,H,,,,,512,,515,,
4986610,35-39,Adilson FRAN�A SOUZA,4986610.adilson.francasouza,BR,H,,,,,430,,432,,
4986708,20-34,Wesley SULIVAN SOUZA LEME DA SILVA,4986708.wesley.sulivansouzalemedasilva,BR,H,,,,,537,534,521,,
4986788,35-39,Felipe AFFONSO DE LACERDA,4986788.felipe.affonsodelacerda,BR,H,,,,,347,279,348,,
5027262,35-39,Caio HENRIQUE NOIA,5027262.caio.henriquenoia,BR,H,,,,,411,,413,,
5086614,60-64,Carlos HENRIQUE LEMOS DOS SANTOS,5086614.carlos.henriquelemosdossantos,BR,H,,,,,504,505,444,,
5086638,45-49,Cristiano GON�ALVES DE SOUZA,5086638.cristiano.goncalvesdesouza,BR,H,,,,,449,408,450,,
5332072,55-59,Ariovaldo LUIZ PEREIRA,5332072.ariovaldo.luizpereira,BR,H,,,,,334,287,335,,
5340454,20-34,Thiago SALAS KORROCH,5340454.thiago.salaskorroch,BR,H,,,,,362,,364,,
5911326,50-54,Maur�cio MOREIRA DA SILVA,5911326.mauricio.moreiradasilva,BR,H,,,,,552,,554,,
5911328,40-44,Arthur RUFFATO,5911328.arthur.ruffato,BR,H,,,,,550,,553,,
5911330,40-44,Ronaldo ALVES PINHEIRO,5911330.ronaldo.alvespinheiro,BR,H,,,,,526,,528,,
5911332,55-59,Luis CARLOS FOR�O,5911332.luis.carlosforao,BR,H,,,,,512,,514,,
5911334,45-49,Joao CARLOS DE OLIVEIRA,5911334.joao.carlosdeoliveira,BR,H,,,,,506,,508,,
5911336,55-59,Maria ABADIA MACHADO,5911336.maria.abadiamachado,BR,F,,,,,493,,495,,
5911338,50-54,Paulo LU�S JARDINE ORTEGA,5911338.paulo.luisjardineortega,BR,H,,,,,479,,481,,
5911340,40-44,Fernando MARQUES SALDANHA,5911340.fernando.marquessaldanha,BR,H,,,,,473,,475,,
5911342,35-39,Luana FERNANDA MARQUES,5911342.luana.fernandamarques,BR,F,,,,,464,,466,,
5911344,60-64,Sergio ALVES SPINA,5911344.sergio.alvesspina,BR,H,,,,,450,,452,,
5911346,35-39,Matheus SILVA PEREIRA,5911346.matheus.silvapereira,BR,H,,,,,450,,452,,
5911352,45-49,Elisangela DE PAIVA SILVEIRA ZEBRAL,5911352.elisangela.depaivasilveirazebral,BR,F,,,,,447,,449,,
5911354,40-44,Robinson DOS SANTOS NASCIMENTO,5911354.robinson.dossantosnascimento,BR,H,,,,,447,,449,,
5911360,45-49,Maria DO CARMO FERREIRA BASTOS,5911360.maria.docarmoferreirabastos,BR,F,,,,,438,,440,,
5911362,45-49,Felipe TADEU DA SILVA,5911362.felipe.tadeudasilva,BR,H,,,,,438,,440,,
5911364,45-49,Josiel VIEIRA DE ARA�JO,5911364.josiel.vieiradearaujo,BR,H,,,,,437,,438,,
5911366,65-69,Joaquim ROBERTO RABELO,5911366.joaquim.robertorabelo,BR,H,,,,,434,,436,,
5911370,40-44,Tulio ROG�RIO TEIXEIRA LOPES,5911370.tulio.rogerioteixeiralopes,BR,H,,,,,421,,423,,
5911372,45-49,Rhodiney VAZ MARTINS,5911372.rhodiney.vazmartins,BR,H,,,,,417,,419,,
5911374,40-44,Viviane DE ALMEIDA CAMPOS,5911374.viviane.dealmeidacampos,BR,F,,,,,408,,410,,
5911378,45-49,Daniel ELIAS FERREIRA,5911378.daniel.eliasferreira,BR,H,,,,,442,443,402,,
5911380,40-44,Bruno GON�ALVES BORREL,5911380.bruno.goncalvesborrel,BR,H,,,,,400,,402,,
5911382,35-39,Enrico FELIPPINI FERREIRA DE SOUZA,5911382.enrico.felippiniferreiradesouza,BR,H,,,,,389,,391,,
5911384,60-64,Jose GERALDO CARVALHO,5911384.jose.geraldocarvalho,BR,H,,,,,388,,389,,
5911388,35-39,Olioenai ALVES GUIMAR�ES,5911388.olioenai.alvesguimaraes,BR,H,,,,,385,,386,,
5911390,45-49,Nelson MARINELLI NETO,5911390.nelson.marinellineto,BR,H,,,,,381,,382,,
5911392,40-44,Igor MARMELLO BAHIA,5911392.igor.marmellobahia,BR,H,,,,,375,,377,,
5911394,20-34,Thales OLIVEIRA BARBOSA,5911394.thales.oliveirabarbosa,BR,H,,,,,372,,373,,
5911396,45-49,Ricardo REBOLLEDO,5911396.ricardo.rebolledo,BR,H,,,,,356,,357,,
5911398,50-54,Jurandir MOREIRA DE SOUZA,5911398.jurandir.moreiradesouza,BR,H,,,,,346,,347,,
5911400,50-54,Gilmara GERHEIM LOURO,5911400.gilmara.gerheimlouro,BR,F,,,,,340,,342,,
5911402,45-49,Ivan CARLOS SOARES,5911402.ivan.carlossoares,BR,H,,,,,334,,335,,
5911404,50-54,Edvaldo TINTINO DA SILVA,5911404.edvaldo.tintinodasilva,BR,H,,,,,334,,335,,
5911406,45-49,Marcos BAILER,5911406.marcos.bailer,BR,H,,,,,334,,335,,
5911410,45-49,Uliana GUIMAR�ES POZZAN MILOSKI,5911410.uliana.guimaraespozzanmiloski,BR,F,,,,,330,,332,,
5911414,50-54,Marcelo GON�ALVES DE SOUZA,5911414.marcelo.goncalvesdesouza,BR,H,,,,,327,,328,,
5911416,45-49,Edson TAKASHI SEKITANI,5911416.edson.takashisekitani,BR,H,,,,,308,,309,,
4893818,40-44,Marina CALAZANS,4893818.marina.calazans,BR,F,,,,,488,425,488,486,
395544,35-39,Fabio REIS,395544.fabio.reis,BR,H,,,,,624,,624,478,
4931787,45-49,Mirella BERGAMINI,4931787.mirella.bergamini,BR,F,,,,,365,366,,,
5165298,35-39,Bruno LIMA,5165298.bruno.lima,BR,H,,,,,531,494,532,,366
5826960,55-59,Mauricio ACCIOLY,5826960.mauricio.accioly,BR,H,,,,,457,459,,,
5827098,50-54,Joelma SANTANA,5827098.joelma.santana,BR,F,,,,,263,264,,,
5165354,55-59,Solange RODRIGUES,5165354.solange.rodrigues,BR,F,,,,,371,372,,,
5394354,55-59,Noemi SHIGETOMI,5394354.noemi.shigetomi,BR,F,,,,,320,321,,,
215513,40-44,Sidnei PACHECO,215513.sidnei.pacheco,BR,H,,,,,499,432,500,,
4608408,20-34,Guilherme TOMAZI,4608408.guilherme.tomazi,BR,H,,,,,569,479,547,569,
4240780,40-44,Willians Anderson SILVA,4240780.williansanderson.silva,BR,H,,,,,577,,531,578,564
5960504,20-34,Alan DA SILVA SOUSA,5960504.alan.dasilvasousa,BR,H,,,,,505,507,,,
5962112,35-39,Gabriella BOGER PRADO,5962112.gabriella.bogerprado,BR,F,,,,,397,399,,,
5963042,45-49,Meire QUEIROZ,5963042.meire.queiroz,BR,F,,,,,358,359,,,
1618837,40-44,Guilherme RAMOS,1618837.guilherme.ramos,BR,H,,,,,552,,550,,
4541106,20-34,Jo�o Manoel PEREIRA DE ASSIS,4541106.joaomanoel.pereiradeassis,BR,H,,,,,534,526,533,516,
5955928,20-34,Mateus GONTIJO PINTO,5955928.mateus.gontijopinto,BR,H,,,,,534,,536,,
897965,35-39,Guilherme INFANTE,897965.guilherme.infante,BR,H,,,,,390,392,,,
1472933,45-49,Diego CAROTTI,1472933.diego.carotti,BR,H,,,,,525,527,,,
5959424,35-39,Paulo GONCALVES,5959424.paulo.goncalves,BR,H,,,,,390,392,,,
5301434,20-34,Caroline MOSER DE ROUGEMONT,5301434.caroline.moserderougemont,BR,F,,,,,424,424,,,
5567204,45-49,Fernando DOEGE,5567204.fernando.doege,BR,H,,,,,365,365,,,
297541,55-59,Katia Ronise FERNANDES TEDESCHI,297541.katiaronise.fernandestedeschi,BR,F,RUNFUN,RUNFUN,,,446,,442,443,
5914228,50-54,Gomes De Matos Edgar GOMES,5914228.gomesdematosedgar.gomes,BR,H,,,,,447,,449,,
4861096,20-34,Thiago CALDAS,4861096.thiago.caldas,BR,H,,,,,335,,336,,
5852950,20-34,L�liam CORREIA,5852950.liliam.correia,BR,F,,,,,335,,336,,
5165354,55-59,Solange RODRIGUES,5165354.solange.rodrigues,BR,F,,,,,371,372,,,
5889010,20-34,Bernardo OLIVEIRA FIUZA,5889010.bernardo.oliveirafiuza,BR,H,,,,,406,408,,,
5875112,20-34,Lucas PEZZOTTI,5875112.lucas.pezzotti,BR,H,,,,,359,,360,,
227545,40-44,Raphael BONATTO,227545.raphael.bonatto,BR,H,Go On Outdoor,Go On Outdoor,Go On Outdoor,,664,557,667,475,
655044,55-59,Andre Luiz DE CARVALHO NEVES,655044.andreluiz.decarvalhoneves,BR,H,,,,,374,376,,,
655284,35-39,Leticia Da DA SILVA SALTORI,655284.leticiada.dasilvasaltori,BR,F,,Mountain School- Equipiazza - Kailash - UTMB Brasil,Mountain School- Equipiazza - Kailash- UTMB Brasil,,696,630,683,696,
894465,65-69,Joao STRESSER,894465.joao.stresser,BR,H,,,,,419,418,375,,
1139559,50-54,Leandro De HERCULANO,1139559.leandrode.herculano,BR,H,,,,,406,408,,,
1349425,45-49,Silvana CAMARGO RONCAGLIO SANTOS,1349425.silvana.camargoroncagliosantos,BR,F,,,,,496,424,495,,
1359763,35-39,Rogerio SILVESTRIN,1359763.rogerio.silvestrin,BR,H,Go On Outdoor,Go On Outdoor,Go On Outdoor,,854,779,853,825,
1363103,40-44,Camila BRAGA FERNANDES MAIA,1363103.camila.bragafernandesmaia,BR,F,,,,,445,446,394,,
1379913,20-34,Caie ALONSO,1379913.caie.alonso,BR,H,,,,,718,720,662,,
1379929,45-49,Bento ALEIXO,1379929.bento.aleixo,BR,H,,,,,478,479,438,,
1379965,65-69,Jose PINTON,1379965.jose.pinton,BR,H,,,,,389,379,388,,
1380001,40-44,Helder BOLLMANN,1380001.helder.bollmann,BR,H,,,,,402,400,,,
1380033,35-39,Yonara LEOPOLDO,1380033.yonara.leopoldo,BR,F,,,,,545,513,547,506,
1384177,40-44,Cassiane NOVAK,1384177.cassiane.novak,BR,F,,,,,545,546,427,,
1659571,40-44,Eliel BATISTA,1659571.eliel.batista,BR,H,,,,,702,680,702,,
1768761,50-54,Malgarete RODRIGUES DA COSTA,1768761.malgarete.rodriguesdacosta,BR,F,,Ultra Malga,,,436,337,419,,436
1843435,35-39,Marco Aurelio PIAZZA,1843435.marcoaurelio.piazza,BR,H,,,,,528,530,,,
1885965,50-54,Adriana VAZ,1885965.adriana.vaz,BR,F,,,,,408,409,,,
1905395,35-39,Rafaela TRICA,1905395.rafaela.trica,BR,F,,,,,483,485,,,
1952671,60-64,Katia MOLINARI,1952671.katia.molinari,BR,F,,,,,324,324,,,
2069365,55-59,Marcia Aparecida BISS,2069365.marciaaparecida.biss,BR,F,,,,,388,388,,,
2158289,40-44,Pamella MOCELIN FALLEIROS,2158289.pamella.mocelinfalleiros,BR,F,,,,,452,453,,,
2265733,35-39,Chardie BATISTA,2265733.chardie.batista,BR,H,,,,,520,480,518,,
2265833,40-44,Uilhan RODRIGUES DA SILVA,2265833.uilhan.rodriguesdasilva,BR,H,,,,,499,498,391,,
2265891,45-49,Alan Rogerio VENDRAME DE SOUZA,2265891.alanrogerio.vendramedesouza,BR,H,,,,,395,396,,,
2486049,45-49,Elessandro Vasque CERVILHA,2486049.elessandrovasque.cervilha,BR,H,,,,,526,527,,,
2552533,50-54,Adalberto DE CASTRO VIANNA JUNIOR,2552533.adalberto.decastroviannajunior,BR,H,,,,,387,386,,,
2687549,45-49,Rosinaldo NOGUEIRA SOARES,2687549.rosinaldo.nogueirasoares,BR,H,,,,,509,510,,,
3086745,35-39,Cesar CAVALCANTI,3086745.cesar.cavalcanti,BR,H,,,,,577,502,576,,
3504629,35-39,Cicero Jose ALBERTON,3504629.cicerojose.alberton,BR,H,,,,,482,484,,,
3853027,55-59,Mauricio KUDLAWIEC,3853027.mauricio.kudlawiec,BR,H,,,,,478,480,,,
3907941,20-34,Wellington Luis DE SOUZA GROCHOCKI,3907941.wellingtonluis.desouzagrochocki,BR,H,,,,,589,592,,,
4248971,35-39,Marcelo WALZBURGER,4248971.marcelo.walzburger,BR,H,,,,,642,633,552,642,
4248994,20-34,Richard ARJAN KOK,4248994.richard.arjankok,BR,H,,,,,485,471,,478,
4401500,35-39,Rodrigo DOS SANTOS AQUISTAPACE,4401500.rodrigo.dossantosaquistapace,BR,H,,,,,548,531,545,,
4522548,45-49,Fabio MORALLES ALONSO,4522548.fabio.morallesalonso,BR,H,,Assessoria Trainer.,Camelbak Brasil,,606,496,605,,
4631552,45-49,Cesar Renato HONORIO,4631552.cesarrenato.honorio,BR,H,Avulso,Avulso,,,440,435,432,,
4631574,50-54,C�ntia AGNES BRANDAO,4631574.cintia.agnesbrandao,BR,F,,,,,388,389,,,
4659118,40-44,Luciano VANZ,4659118.luciano.vanz,BR,H,,,,,419,420,351,,
4855562,40-44,Egon HILGENSTIELER,4855562.egon.hilgenstieler,BR,H,,,,,458,409,456,,
4914415,20-34,Vitor Antonio DELGADO,4914415.vitorantonio.delgado,BR,H,GoOn Outdoor,GoOn Outdoor,S/ Patroc�nio,,411,412,383,,
4915321,35-39,Philipe GRECCA TURKOT,4915321.philipe.greccaturkot,BR,H,,PGT personal trainer/GO ON OUTDOOR ,,,555,549,541,,
4961715,20-34,Vanessa ROSSA,4961715.vanessa.rossa,BR,F,,,,,460,461,,,
4962084,50-54,Roseli RODRIGUES,4962084.roseli.rodrigues,BR,F,,,,,469,459,467,,
5028304,20-34,Eduardo PETRI FERREIRA,5028304.eduardo.petriferreira,BR,H,,,,,569,539,570,,
5028436,40-44,Edylaine CALDONAZIO SERAFIM,5028436.edylaine.caldonazioserafim,BR,F,,,,,431,396,432,,
5233546,45-49,Carlos Eduardo MAGRIN,5233546.carloseduardo.magrin,BR,H,,EQUIPIAZZA,,,479,481,,,
5436939,60-64,Elson ROBASSA,5436939.elson.robassa,BR,H,,EQUIPIAZZA,VBA CLINICA VETERINARIA,,426,427,,,
5485996,50-54,Desir� Luciane DOMINSCHEK,5485996.desireluciane.dominschek,BR,F,,CORRIDA PERFEITA,,,389,391,,,
5572027,40-44,Ivan SOUZA,5572027.ivan.souza,BR,H,,,,,429,431,,,
5583654,20-34,Guilherme Henrique GON�ALVES DOS SANTOS,5583654.guilhermehenrique.goncalvesdossantos,BR,H,,,,,636,638,,,
5583674,35-39,Luciano MACHADO DE OLIVEIRA,5583674.luciano.machadodeoliveira,BR,H,,,,,552,550,,,
5583680,40-44,Ronaldo MACHADO,5583680.ronaldo.machado,BR,H,,,,,536,538,,,
5583686,35-39,Jonas GONCALVES FRANCO,5583686.jonas.goncalvesfranco,BR,H,,,,,449,448,,,
5583688,55-59,Luiz Carlos BENATO JUNIOR,5583688.luizcarlos.benatojunior,BR,H,,,,,445,446,,,
5583694,45-49,Alexandre Henrique DOS SANTOS,5583694.alexandrehenrique.dossantos,BR,H,,,,,450,451,,,
5583706,40-44,Daiane Gizele ADAO MOREIRA,5583706.daianegizele.adaomoreira,BR,F,,,,,401,402,,,
5583732,50-54,Francis GARY DE PONTES,5583732.francis.garydepontes,BR,F,,,,,366,366,,,
5583760,35-39,Waldir Aparecido ROSA JUNIOR,5583760.waldiraparecido.rosajunior,BR,H,,,,,516,518,,,
5583762,40-44,Joao MACIEL LOPES,5583762.joao.maciellopes,BR,H,,,,,503,502,,,
5583766,40-44,Queila TEIXEIRA,5583766.queila.teixeira,BR,F,,,,,457,455,,,
5583768,35-39,Hilton Seiji YAMAMOTO,5583768.hiltonseiji.yamamoto,BR,H,,,,,457,458,,,
5583782,40-44,Luciano FERREIRA PAIVA,5583782.luciano.ferreirapaiva,BR,H,,,,,409,407,,,
5583784,45-49,Gessica DIAS BAZZI,5583784.gessica.diasbazzi,BR,F,,,,,420,420,,,
5583786,50-54,Isabel Cristina CORREA PASSONI,5583786.isabelcristina.correapassoni,BR,F,,,,,416,417,,,
5583800,40-44,Regiane GAVLAK,5583800.regiane.gavlak,BR,F,,,,,348,349,,,
5583810,45-49,Maicon RIVABEM,5583810.maicon.rivabem,BR,H,,,,,605,607,,,
5583836,40-44,Willian MARTINS,5583836.willian.martins,BR,H,,,,,466,468,,,
5583840,35-39,Juliano DE SOUZA,5583840.juliano.desouza,BR,H,,,,,499,501,,,
5583844,45-49,Sheyla SANTOS QUELLE ALONSO,5583844.sheyla.santosquellealonso,BR,F,,,,,395,394,,,
5583848,50-54,Eliza MAROCHI BENATO,5583848.eliza.marochibenato,BR,F,,,,,396,397,,,
5583904,40-44,Lucas Roberto PETRECH,5583904.lucasroberto.petrech,BR,H,,,,,519,521,,,
5583906,40-44,Sandro Jose DA SILVA,5583906.sandrojose.dasilva,BR,H,,,,,489,490,,,
5583934,55-59,Manoel Euphrasio PICANCO NETO,5583934.manoeleuphrasio.picanconeto,BR,H,,,,,420,421,,,
5583950,20-34,Lucas MESQUITA DALMOLIM,5583950.lucas.mesquitadalmolim,BR,H,,,,,410,412,,,
5583970,20-34,Nathalia GEBELUCA PRZIBIOVICZ,5583970.nathalia.gebelucaprzibiovicz,BR,F,,,,,345,346,,,
5640198,20-34,Vinicius Jose CEQUINEL,5640198.viniciusjose.cequinel,BR,H,,,,,521,523,,,
5640202,45-49,Celio SANTANA DE SOUZA,5640202.celio.santanadesouza,BR,H,,,,,468,469,,,
5640210,35-39,Paulo Victor NASCIMENTO FIGUEIRA,5640210.paulovictor.nascimentofigueira,BR,H,,,,,444,446,,,
5640214,35-39,Ewertom RIBEIRO CZAIKOWSKI,5640214.ewertom.ribeiroczaikowski,BR,H,,,,,484,485,,,
5640218,40-44,Raphael Luiz PYTLOWANCIV,5640218.raphaelluiz.pytlowanciv,BR,H,,,,,479,481,,,
5640230,45-49,Sandra GOMES SOARES,5640230.sandra.gomessoares,BR,F,,,,,393,395,,,
5640238,45-49,Helinton Ricardo DE LIMA RIBEIRO,5640238.helintonricardo.delimaribeiro,BR,H,,,,,476,478,,,
5640240,35-39,Lorena Fernanda BAHL,5640240.lorenafernanda.bahl,BR,F,,,,,358,360,,,
5972244,40-44,Elienai SANTANA BATISTA,5972244.elienai.santanabatista,BR,H,,,,,602,604,,,
5972246,20-34,Jhonathan LONGO,5972246.jhonathan.longo,BR,H,,,,,591,593,,,
5972248,20-34,Luiz Fernando AMBROSIO,5972248.luizfernando.ambrosio,BR,H,,,,,572,574,,,
5972250,40-44,Alex Fabiano MORAIS,5972250.alexfabiano.morais,BR,H,,,,,570,572,,,
5972252,45-49,Carlos Jose SIMONI DE BRITO,5972252.carlosjose.simonidebrito,BR,H,,,,,566,569,,,
5972254,60-64,Adelino MONTEIRO DOS SANTOS,5972254.adelino.monteirodossantos,BR,H,,,,,540,542,,,
5972256,20-34,Ferdinanda DA SILVA ALCANTARA,5972256.ferdinanda.dasilvaalcantara,BR,F,,,,,535,537,,,
5972258,45-49,Mauricio FERREIRA,5972258.mauricio.ferreira,BR,H,,,,,524,527,,,
5972260,35-39,Ciro GASPARIN MORAES,5972260.ciro.gasparinmoraes,BR,H,,,,,524,526,,,
5972262,20-34,Michael Luiz CHECHELSKI ANDRADE,5972262.michaelluiz.chechelskiandrade,BR,H,,,,,520,522,,,
5972264,20-34,Gustavo ANDRADE,5972264.gustavo.andrade,BR,H,,,,,519,522,,,
5972266,20-34,Fernando BUGES TEIXEIRA FRAN�A,5972266.fernando.bugesteixeirafranca,BR,H,,,,,503,505,,,
5972268,55-59,Jan WILLEM SALOMONS,5972268.jan.willemsalomons,BR,H,,,,,501,503,,,
5972270,35-39,Rodrigo CRASSO,5972270.rodrigo.crasso,BR,H,,,,,492,494,,,
5972272,20-34,Giancarlo PERNECHELE AZEVEDO,5972272.giancarlo.pernecheleazevedo,BR,H,,,,,478,480,,,
5972274,40-44,Vania SILVA ALCINI,5972274.vania.silvaalcini,BR,F,,,,,476,478,,,
5972276,35-39,Wagner HAUER ARGENTON,5972276.wagner.hauerargenton,BR,H,,,,,473,475,,,
5972278,20-34,Julio Cesar GONCALVES JUNIOR,5972278.juliocesar.goncalvesjunior,BR,H,,,,,472,474,,,
5972280,45-49,Douglas Leonardo DE PATROCINIO,5972280.douglasleonardo.depatrocinio,BR,H,,,,,468,469,,,
5972282,40-44,Jan FRANCISCO MICHALIK,5972282.jan.franciscomichalik,BR,H,,,,,467,469,,,
5972284,40-44,Luiz Fernando FILTHER,5972284.luizfernando.filther,BR,H,,,,,450,451,,,
5972286,20-34,Pedro Henrique PAVAN GONCALVES,5972286.pedrohenrique.pavangoncalves,BR,H,,,,,448,450,,,
5972288,40-44,Luiz Carlos PELINCER JUNIOR,5972288.luizcarlos.pelincerjunior,BR,H,,,,,446,448,,,
5972290,20-34,Priscila IWANOWSKI JAGUARIBE,5972290.priscila.iwanowskijaguaribe,BR,F,,,,,445,447,,,
5972292,20-34,Erikson Luiz BENATTO FERREIRA,5972292.eriksonluiz.benattoferreira,BR,H,,,,,442,444,,,
5972294,40-44,Caroline BARCHAKI,5972294.caroline.barchaki,BR,F,,,,,432,434,,,
5972296,20-34,Guilherme NORBERTO,5972296.guilherme.norberto,BR,H,,,,,430,432,,,
5972298,50-54,Luis Eduardo RAUSCHER,5972298.luiseduardo.rauscher,BR,H,,,,,430,432,,,
5972300,45-49,Cassio CROVADOR,5972300.cassio.crovador,BR,H,,,,,429,431,,,
5972302,40-44,Giulliano Gilmar ORLOSKI,5972302.giullianogilmar.orloski,BR,H,,,,,428,430,,,
5972304,35-39,Liana DA PALMA,5972304.liana.dapalma,BR,F,,,,,424,425,,,
5972306,35-39,Eliane GANDIN DEGRANDIS,5972306.eliane.gandindegrandis,BR,F,,,,,422,424,,,
5972308,45-49,Eduardo CASSANHO DE OLIVEIRA,5972308.eduardo.cassanhodeoliveira,BR,H,,,,,418,420,,,
5972310,45-49,Marcio HOEPERS,5972310.marcio.hoepers,BR,H,,,,,416,416,394,,
5972312,20-34,Lucas Marco KEINERT,5972312.lucasmarco.keinert,BR,H,,,,,414,416,,,
5972314,20-34,Lucas Fabiano SANTOS,5972314.lucasfabiano.santos,BR,H,,,,,414,416,,,
5972316,45-49,Claudete GONCALVES,5972316.claudete.goncalves,BR,F,,,,,414,415,,,
5972318,55-59,Wilson GERONIMO ZAZE,5972318.wilson.geronimozaze,BR,H,,,,,402,404,,,
5972320,35-39,Rafael GANZ,5972320.rafael.ganz,BR,H,,,,,401,403,,,
5972322,20-34,Luciana KIELT ROCHA,5972322.luciana.kieltrocha,BR,F,,,,,400,402,,,
5972324,35-39,Paulo Diogo MARTINS PEREIRA,5972324.paulodiogo.martinspereira,BR,H,,,,,400,402,,,
5972326,50-54,Elias GOULARTE,5972326.elias.goularte,BR,H,,,,,399,400,,,
5972328,35-39,Felipe CHIQUETTO,5972328.felipe.chiquetto,BR,H,,,,,397,399,,,
5972330,45-49,Kleber NADOLNY,5972330.kleber.nadolny,BR,H,,,,,395,397,,,
5972332,50-54,Heitor Jose CANALLE DE SOUZA,5972332.heitorjose.canalledesouza,BR,H,,,,,394,396,,,
5972334,35-39,Rafael JANKOVSKI,5972334.rafael.jankovski,BR,H,,,,,391,392,,,
5972336,35-39,Anderson ALVES CARNEIRO,5972336.anderson.alvescarneiro,BR,H,,,,,389,391,,,
5972338,55-59,Jose OLVEIRA PINHEIRO,5972338.jose.olveirapinheiro,BR,H,,,,,387,388,,,
5972340,50-54,Antonio Carlos SANTORO JUNIOR,5972340.antoniocarlos.santorojunior,BR,H,,,,,384,385,,,
5972342,35-39,Ricardo S OLIVEIRA,5972342.ricardos.oliveira,BR,H,,,,,382,383,,,
5972344,20-34,Jessica MALUCELLI BARBOSA,5972344.jessica.malucellibarbosa,BR,F,,,,,380,382,,,
5972346,40-44,Jeferson TEIXEIRA NORBERTO,5972346.jeferson.teixeiranorberto,BR,H,,,,,379,381,,,
5972348,40-44,Guilherme Luiz STELKO PEREIRA,5972348.guilhermeluiz.stelkopereira,BR,H,,,,,376,378,,,
5972350,20-34,Fatima Yuri SUJETAVA,5972350.fatimayuri.sujetava,BR,F,,,,,374,376,,,
5972352,45-49,Lidiane Fernandes ROCHA MEDEIROS,5972352.lidianefernandes.rochamedeiros,BR,F,,,,,372,374,,,
5972354,20-34,Igor OLIVEIRA ALVES,5972354.igor.oliveiraalves,BR,H,,,,,370,371,,,
5972356,20-34,Daniel SEGATE MARQUES,5972356.daniel.segatemarques,BR,H,,,,,369,371,,,
5972358,55-59,Rosilei ROSSA,5972358.rosilei.rossa,BR,F,,,,,366,368,,,
5972360,40-44,Johanne Jys MACHADO,5972360.johannejys.machado,BR,F,,,,,363,364,,,
5972362,20-34,Antonio Carlos PAES NASCIMENTO,5972362.antoniocarlos.paesnascimento,BR,H,,,,,354,356,,,
5972364,60-64,Jose BARBOSA,5972364.jose.barbosa,BR,H,,,,,353,355,,,
5972366,45-49,Isaac PORTELA DA SILVA,5972366.isaac.porteladasilva,BR,H,,,,,349,350,,,
5972368,55-59,Eliel MAGALHAES LEANDRO,5972368.eliel.magalhaesleandro,BR,H,,,,,347,348,,,
5972370,50-54,Mirian Cristina R LEANDRO,5972370.miriancristinar.leandro,BR,F,,,,,347,348,,,
5972372,20-34,Naysa Victoria Aparecida AGUIAR,5972372.naysavictoriaaparecida.aguiar,BR,F,,,,,347,348,,,
5972374,45-49,Joel DE SOUZA,5972374.joel.desouza,BR,H,,,,,345,347,,,
5972376,55-59,Vera Lucia DE OLIVEIRA PODGURSKI,5972376.veralucia.deoliveirapodgurski,BR,F,,,,,338,340,,,
5972378,50-54,Rossana CARVALHO,5972378.rossana.carvalho,BR,F,,,,,333,334,,,
5972380,55-59,Marcio FRAGA BATISTA,5972380.marcio.fragabatista,BR,H,,,,,330,331,,,
5972382,65-69,Lilli Marlene BURKHARDT SCHEFER,5972382.lillimarlene.burkhardtschefer,BR,F,,,,,326,327,,,
5972384,60-64,Vera Maria DE BORTOLI,5972384.veramaria.debortoli,BR,F,,,,,324,325,,,
5972386,45-49,Jean Carlos PAVESLKI,5972386.jeancarlos.paveslki,BR,H,,,,,319,320,,,
5972388,65-69,Gabriel Denis WEISS,5972388.gabrieldenis.weiss,BR,H,,,,,318,319,,,
5972390,35-39,Wanessa Mayara PELINCER,5972390.wanessamayara.pelincer,BR,F,,,,,309,310,,,
395515,45-49,Mauricio COTI,395515.mauricio.coti,BR,H,Clube Atl�tico Paulistano,UP Fit Trail,,,421,423,412,333,
